_id	parent_id	title	title_kana	subtitle	subtitle_kana	isbn	author	author_kana	publisher	size	series	series_kana	sales_date	price	url	aff_url	bdate	sd_conv	inmode	c_dtm	memo
615	167	友達の妹が俺にだけウザい4	トモダチノイモウトガオレニダケウザイヨン			9784815604806	三河ごーすと/トマリ	ミカワゴースト/トマリ	SBクリエイティブ	文庫	GA文庫　4	ジーエーブンコ　4	2020年03月14日	737	https://books.rakuten.co.jp/rb/16221929/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F16221929%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D16221929%26surl%3Dbook				2020/05/30 12:01:12	
616	157	カノジョの妹とキスをした。	カノジョノイモウトトキスヲシタ。			9784815606312	海空 りく/さばみぞれ	ミソラリク/サバミゾレ	SBクリエイティブ	文庫	GA文庫　1	ジーエーブンコ　1	2020年04月15日	704	https://books.rakuten.co.jp/rb/16249238/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F16249238%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D16249238%26surl%3Dbook				2020/05/30 12:01:30	
617	95	お隣さんと始める節約生活。 電気代のために一緒の部屋で過ごしませんか？	オトナリサントハジメルセツヤクセイカツ。 デンキダイノタメニイッショノヘヤデスゴシマセンカ？			9784040734057	くろい/U35	クロイ/ウミコ	KADOKAWA	文庫	ファンタジア文庫	ファンタジアブンコ	2019年11月20日	693	https://books.rakuten.co.jp/rb/16096784/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F16096784%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D16096784%26surl%3Dbook				2020/05/30 12:02:00	
618	168	継母の連れ子が元カノだった 昔の恋が終わってくれない（1）	ママハハノツレゴガモトカノダッタ ムカシノコイガオワッテクレナイ			9784041076842	紙城　境介/たかやKi	カミシロ　キョウスケ/タカヤキ	KADOKAWA	文庫	角川スニーカー文庫	カドカワスニーカーブンコ	2018年11月30日	726	https://books.rakuten.co.jp/rb/15676399/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F15676399%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D15676399%26surl%3Dbook				2020/05/30 12:02:45	
619	169	妹はサイコパス	イモウト ワ サイコパス			9784910040202	瀬尾順	セオ,ジュン	LINE	文庫	LINE文庫エッジ	ライン ブンコ エッジ	2019年12月	715	https://books.rakuten.co.jp/rb/16155814/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F16155814%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D16155814%26surl%3Dbook				2020/05/30 12:03:20	
620	167	友達の妹が俺にだけウザい3	トモダチノイモウトガオレニダケウザイサン			9784815604271	三河ごーすと/トマリ	ミカワゴースト/トマリ	SBクリエイティブ	文庫	GA文庫　3	ジーエーブンコ　3	2019年11月15日	693	https://books.rakuten.co.jp/rb/16074088/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F16074088%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D16074088%26surl%3Dbook				2020/05/30 12:05:26	
621	76	パティスリー幸福堂書店はじめました	パティスリーコウフクドウショテンハジメマシタ			9784575520750	秦本幸弥	ハタモト ユキヤ	双葉社	文庫			2018年01月11日	641	https://books.rakuten.co.jp/rb/15270257/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F15270257%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D15270257%26surl%3Dbook			古本	2020/05/30 12:13:46	
622	61	誰も書かなかった「タブーの日本史」大全	ダレ モ カカナカッタ タブー ノ ニホンシ タイゼン			9784800240828	別冊宝島編集部	ベッサツ タカラジマ ヘンシュウブ	宝島社	文庫	宝島sugoi文庫	タカラジマ スゴイ ブンコ	2015年05月	715	https://books.rakuten.co.jp/rb/13234180/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13234180%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D13234180%26surl%3Dbook			古本	2020/05/30 12:14:02	
623	76	夜の床屋	ヨル ノ トコヤ			9784488437114	沢村浩輔	サワムラ,コウスケ	東京創元社	文庫	創元推理文庫	ソウゲン スイリ ブンコ	2014年06月	814	https://books.rakuten.co.jp/rb/12781363/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12781363%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12781363%26surl%3Dbook			古本	2020/05/30 12:15:49	
624	76	スープ屋しずくの謎解き朝ごはん	スープヤ シズク ノ ナゾトキ アサゴハン			9784800234131	友井羊	トモイ,ヒツジ	宝島社	文庫	宝島社文庫	タカラジマシャ ブンコ	2014年11月	715	https://books.rakuten.co.jp/rb/12999826/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12999826%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12999826%26surl%3Dbook			古本	2020/05/30 12:18:54	
625	46	世界堂書店	セカイドウショテン			9784167901011	米澤 穂信	ヨネザワ ホノブ	文藝春秋	文庫	文春文庫	ブンシュンブンコ	2014年05月	847	https://books.rakuten.co.jp/rb/12721046/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12721046%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12721046%26surl%3Dbook			古本	2020/05/30 12:18:47	
626	76	ゆきうさぎのお品書き　6時20分の肉じゃが	ユキウサギ ノ オシナガキ ロクジ ニジュップン ノ ニクジャガ			9784086800679	小湊悠貴	コミナト,ユウキ	集英社	文庫	集英社オレンジ文庫	シュウエイシャ オレンジ ブンコ	2016年02月19日	627	https://books.rakuten.co.jp/rb/13610650/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13610650%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D13610650%26surl%3Dbook			古本	2020/05/30 14:47:59	
627	170	ソードアート・オンライン16 アリシゼーション・エクスプローディング	ソードアートオンライン16 アリシゼーションエクスプローディング			9784048653077	川原　礫/abec	カワハラ　レキ/アベシ	KADOKAWA	文庫	電撃文庫	デンゲキブンコ	2015年08月08日	649	https://books.rakuten.co.jp/rb/13343064/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13343064%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D13343064%26surl%3Dbook			古本	2020/05/30 14:48:38	
628	170	ソードアート・オンライン（15）	ソード アート オンライン			9784048667753	川原礫	カワハラ,レキ	KADOKAWA	文庫	電撃文庫	デンゲキ ブンコ	2014年08月	649	https://books.rakuten.co.jp/rb/12879172/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12879172%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12879172%26surl%3Dbook			古本	2020/05/30 14:48:40	
629	170	ソードアート・オンライン1アインクラッド	ソードアートオンライン1アインクラッド			9784048677608	川原　礫/abec	カワハラ　レキ/アベシ	KADOKAWA	文庫	電撃文庫	デンゲキブンコ	2009年04月	649	https://books.rakuten.co.jp/rb/6033257/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6033257%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D6033257%26surl%3Dbook			古本	2020/05/30 14:49:50	
630	170	ソードアート・オンライン2アインクラッド	ソードアートオンライン2アインクラッド			9784048679350	川原　礫/abec	カワハラ　レキ/アベシ	KADOKAWA	文庫	電撃文庫	デンゲキブンコ	2009年08月	649	https://books.rakuten.co.jp/rb/6139601/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6139601%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D6139601%26surl%3Dbook			古本	2020/05/30 14:49:57	
631	170	ソードアート・オンライン3フェアリィ・ダンス	ソードアートオンライン3フェアリィダンス			9784048681933	川原　礫/abec	カワハラ　レキ/アベシ	KADOKAWA	文庫	電撃文庫	デンゲキブンコ	2009年12月	627	https://books.rakuten.co.jp/rb/6237655/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6237655%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D6237655%26surl%3Dbook			古本	2020/05/30 14:50:00	
